argument,topic,example
THEY FOSTER A SPIRIT OF FRIENDLINESS BETWEEN NATIONS WHO WOULD OTHERWISE BE AT WAR,We should abolish the Olympic Games,the olympic games bring friendly and respectful competition among international athletes and make the world a better place.
"autonomous vehicles are not foolproof, and have caused accidents.",We should stop the development of autonomous cars,"autonomous cars are dangerous and shouldn't be allowed.  we all know technology fails often, and allowing someone to put their life (and the lives of those around them) in jeopardy is not necessary in this way."
they are cruel to animals and wildlife,We should abolish zoos,"zoos often exhibit poor standards of animal welfare, since they are designed to make money for their owners - it is essentially exploitation under the guise of environmental 'protection'."
"Subsidizing Wikipedia means supporting mediocrity and unfounded information, and governments should aspire for a better option.",We should subsidize Wikipedia,wikipedia is a valuable resource used by many around the world. it is an important source of knowledge that should be subsidized to ensure it remains free for all to use.
Intelligence tests bring more harm than good because they justify pseudo-scientific discrimination against people of lower intelligence.,Intelligence tests bring more harm than good,Intelligence tests bring more harm than good as they reinforce a feeling of superiority in certain people who may lack other abilities in life.
entrapment encourages people to commit crimes.,Entrapment should be legalized,"through entrapment, people can be persuaded to commit crimes that may not have done otherwise."
social media can be an outlet for people to keep in contact with their friends and family.,Social media brings more harm than good,social media unites people from all over the world and gives people the opportunity to learn more about people and places all over the planet.
an austerity regime will be a disaster.   people will lose jobs as programs are cut and this could lead to riots and unrest as it did in greece in 2011.,We should adopt an austerity regime,an austerity regime hurts the poorest in our society
"people who deny the holocaust should be seen for what they are, idiots but not criminals",Holocaust denial should be a criminal offence,"it is disrespectful to victims of the holocaust and humanity to deny that it never happened, those that deny the holocaust happen should be subject to criminal penalty."
"subsidizing journalism may inadvertently have the effect of lowering its worth, since it would have a guaranteed revenue threshold no matter the quality of content.",We should subsidize journalism,"Subsidizing journalism would result in pro-government bias. Journalists would be less comfortable criticizing the government so as not to""bite the hand that feeds them""."
we should adopt a zero-tolerance policy to protect all of our children.,We should adopt a zero-tolerance policy in schools,we cannot continue to risk the lives of our children and a zero-tolerance policy is a step in the right direction toward solving this horrific problem.
Entrapment is wrong because it infringes on civil rights.,Entrapment should be legalized,entrapment is a deceptive method of catching criminals and wastes time and resources that would be better put to use catching active criminals.
the prayer in the schools sow the seeds of empathy and love for the young,We should prohibit school prayer,prayer has no place in a school system. schools are meant to be a neutral body for learning and not infiltrated by religion of any type.
autonomous cars would help people who are disabled be able to have their own transportation.,We should stop the development of autonomous cars,"autonomous cars reduce accidents and keep drunk, drugged and even sleepy drivers from getting behind the wheel."
only donors should fund wikipedia or quora.,We should subsidize Wikipedia,If Wikipedia were subsidized it would be less objective by being accountable to a single funding source.
its asinine for people to spend life in jail for minor offenses committed while they were young.,We should abolish the three-strikes laws,"Three-strikes laws are too harsh. Many people who have committed non-violent felonies - and in some cases, misdemeanors - have been given mandatory life sentences."
its unnatural. you shouldn't have the right or ability to choose or abort based solely on sex. this can lead to complete disproportionate numbers if people decide to favor one sex over the other.,We should legalize sex selection,we should legalize sex selection because it should be up to people to make that choice. freedom of choice is vital in democracies and should be protected where possible.
a well-known economist has come out to say that algorithmic trading will be the doom of our economy,We should ban algorithmic trading,algorithmic trading has been reported as one of the main causes of the greatest fall in the dow in decades
everybody has the responsibilty to give their opinion on what happens in their country,We should introduce compulsory voting,a high turnout is important for a proper democratic mandate and the functioning of democracy
"foster care provides children with much-needed stability and security, and foster parents do an excellent job of bringing these children up in a family environment",Foster care brings more harm than good,foster care gets kids out of dangerous situations and into the homes of people who can better care for them.
"too many competing parties leads to voter confusion, and would decrease the validity of elections",We should adopt a multi-party system,a multi-party system might allow for more and more diverse candidates to come to the forefront of each election.
many of the ills of the world derive from religion so we should all be atheist.,We should adopt atheism,We should adopt atheism because history has shown that the majority of wars and human divisiveness is due to religious differences.
no two people are entirely alike.  ignoring individual differences and needs does not best serve the whole,We should oppose collectivism,collectivism can cause people to ignore important problems if it doesn't apply to certain groups
We should legalize prostitution so that we can regulate it and make it safer for the prostitutes and the clients.,We should legalize prostitution,prostitution should be legalized as it provides a service and reduces rape and sex crimes
foster care doesn't guarantee a close relationship and can cause neglect to the child.,Foster care brings more harm than good,"Foster care offers little stability for children already suffering hardships, putting them at an even greater disadvantage and giving them less of a chance of a normal life."
"libertarianism is a selfish and dangerous philosophy, devoid of empathy and charity. if it were to become the dominant political system, we would see a huge increase in social inequality.",We should adopt libertarianism,"Libertarianism doesn't work. Government intervention and financing are necessary for so many facets of society - education, health, and safety, to name a few."
a lifestyle that does not hurt others should be legal,We should legalize polygamy,polygamy should not be legalized because it empowers men more and minimizes women
this will make it easier for those in need of an organ to get one,We should legalize organ trade,legalizing the organ trade would bring an end to shortages for transplant
ending suffering is a gift and should be supported.,Assisted suicide should be a criminal offence,assisted suicides can end the pain of those who are suffering from terminal illnesses.
the three strikes law is barbaric and not applied fairly and should be banned. a persons life should not hang in the balance f=because they have erred three times. people change over time.,We should abolish the three-strikes laws,"Three-strikes laws are too harsh. Many people who have committed non-violent felonies - and in some cases, misdemeanors - have been given mandatory life sentences."
compulsory voting would only cause uneducated votes to be cast and not be a real benefit to the country.,We should introduce compulsory voting,"compulsory voting ensures that our leaders reflect the will of all people, not just those who were able/motivated enough to make it to the polls."
nuclear weapons serve as an effective deterrent that helps prevent military action.,We should fight for the abolition of nuclear weapons,Nuclear weapons provide a deterrent for starting a major conflict.
guantanamo bay is a gross violation of international humans rights law and has no place in a civilized country's jurisprudence process.,We should close Guantanamo Bay detention camp,the guantanamo prison is a center of human rights violation
"only god decides who lives and who dies, capital punishment should not exist.",We should abolish capital punishment,capital punishment is an outdated & cruel form of punishment
access to information is a crucial right for a voter in a democratic society,We should subsidize journalism,"Without journalism people have no way of having the information that empower them to make informed voting decisions, making journalism central to democracy and therefore in need of subsidization."
The risk of an accidental missile launch is so large and could have such catastrophic effects that we need to abolish nuclear weapons.,We should fight for the abolition of nuclear weapons,"Even one accident from a nuclear weapon going off unintentionally would cause massive damage, and this is damage that we should not accept the risk of as a society."
if it is sum well zoos can care for injured animals and prevent extinction,We should abolish zoos,zoos do very important conservation work. their breeding programmes  have meant that some species have been prevented from going extinct.
i think this would be cheaper than hiring your own lawyer.,The use of public defenders should be mandatory,having public defenders for all would be too expensive for the state.
"The prisoners held in this detention center hold valuable information that can save innocent lives, making these centers and the interrogation techniques used there, essential to protecting our people.",We should close Guantanamo Bay detention camp,Creating such a secluded environment for this detention camp has encouraged and legitimized unlawful and immoral behaviour on the part of the soldiers in charge of the detainees.
it is beneficial for companies to bring in fresh faces and ideas so that the company does not get stagnat,We should end mandatory retirement,By freeing up space across professional hierarchies mandatory retirement provides more opportunities for career growth and upward mobility for younger people.
"naturopathy is unproven scientfically, and could have adverse medical affects.",We should ban naturopathy,naturopathy isn't thoroughly tested by the fda and may pose significant health risks if not utilized properly
this gives young people a chance to work,We should end mandatory retirement,By freeing up space across professional hierarchies mandatory retirement provides more opportunities for career growth and upward mobility for younger people.
marriage should be encouraged and not abandoned.   if a couple wants a family in most cases it is better for children to have parents who are married.,We should abandon marriage,marriage is a solid foundation with which to build a family and it should be held as sacred always.
people do not need to worry whether a comparatively harmless sharing of music among friends might lead to lawsuits seeking thousands of dollars in damages.,We should abolish intellectual property rights,"if a person has worked hard to create a lyric, a song or a novel then it is only fair that they own their work and benefit financially from it."
We should not subsidize journalism simply because whoever subsidizing them have control over what they can and cannot publish or share with the public meaning they have complete control of journalism,We should subsidize journalism,"Subsidizing journalism would result in pro-government bias. Journalists would be less comfortable criticizing the government so as not to""bite the hand that feeds them""."
we should not abolish intellectual property rights because it will be expensive for some poor people,We should abolish intellectual property rights,"intellectual property rights do not allow poor people to access valuable resources, knowledge should be free for everyone"
human cloning could help scientists find cures for diseases and epidemics.,We should ban human cloning,human cloning can help doctors find a cure for illnesses we otherwise won't be able to survive
the blockade of the gaza strip is a reasonable response to the crimes committed by hamas members.,Blockade of the Gaza Strip should be ended,The blockade hurts Palestinian civilians that have nothing to do with Hamas and violence against Israel. It is unjust to punish civilians for the actions of terrorists.
urbanization ruins nature by causing concentrated areas of pollution.,We should fight urbanization,urbanization increases pollution and drains resources.
"rather than abandoning the vow of celibacy, the church should actively remove any priests that abuse children.",The vow of celibacy should be abandoned,the vow of celibacy leads to too much abuse of women and children so should be banned.
Naturopathic vitamins and supplements are not subject to the same rigorous standards as prescription drugs.,We should ban naturopathy,naturopathy isn't thoroughly tested by the fda and may pose significant health risks if not utilized properly
foster kids frequently suffer from depression and turn to drugs later on in life,Foster care brings more harm than good,"Foster care children may have many adverse outcomes that persist throughout childhood, such as poor peer relationships, behavioral problems, or other mental health difficulties"
Flag burning is a valid protest method that doesn't harm anyone.,We should prohibit flag burning,flag burning is an expression of freedom of speech to which people have a right in a democratic country
We should ban algorithmic trading as it causes unpredictable volatility in the market.,We should ban algorithmic trading,algorithmic trading should be banned because it makes investors really reliant on technology and the systems that it deploys
legalizing sex selection will help reduce the number of children who suffer from sex-linked genetic diseases,We should legalize sex selection,legalizing sex selection is a good option for people looking to have a specific sex of child.
without payday loans people would miss deadlines on payments and owe even more in the future,Payday loans should be banned,payday loans are a business model designed to rip people off and keep in eternal debt that they cannot afford to clear. this unsustainable for the individual and the economy
cannabis has been proved to be less harmful than other drugs and play a beneficial and safe form of medication for some illnesses and so should be legalized,We should legalize cannabis,legalizing cannabis as far as health is concerned can be beneficial since many of these substances are used as treatments for certain diseases
"collectivism limits individual freedom, autonomy, and self-determination ruining chances for competition and innovation arising from self-motivated individuals.",We should oppose collectivism,collectivism does not encourage individual improvement and ingenuity
"in the two party system, some may be comprimising and not supporting a party which fully supports their beliefs.",We should adopt a multi-party system,the multi-party system offers voters more choices that may get more people involved in politics
We should adopt a multi-party system as there are many parts of society that are currently not represented by the current two-party system.,We should adopt a multi-party system,we should adopt a multi-party system so that we have more viewpoints to solve problems.
social media allows people to connect with others,Social media brings more harm than good,social media unites people from all over the world and gives people the opportunity to learn more about people and places all over the planet.
Traditional liberal arts educations have shown to lead to higher lifetime earnings and career opportunities than do those who receive a vocational education.,We should subsidize vocational education,"While many who graduate from universities struggle to find high paying jobs in their field, graduates of vocational schools have high employments and high standards of living."
"a gender-neutral language is what we should all learn to speak, it will help  dealing with racism and other social issues",We should adopt gender-neutral language,adopting a gender neutral language enables us to speak to each other in a more compassionate and understanding way.
entrapment is not voluntary and forces a person to do something they do not want to.,Entrapment should be legalized,entrapment just encourages criminal activity that may not have otherwise have occurred
There cannot be justification for taking a human life. The only way to properly deliver this message is to abolish death penalty.,We should abolish capital punishment,capital punishment is inhumane and often an unfit punishment for the crime
flag burning should be prohibited because the flag is an important symbol of our country and it's a disgrace to those that have fought and died for it.,We should prohibit flag burning,we should not prohibit flag burning because freedom of speech is one of the defining rights of the american citizens.
the blockade of the gaza should not be ended because it protects some people.,Blockade of the Gaza Strip should be ended,"blockade of the gaza strip should be ended because the conflicts need to be finished, a resolution should be found and people should be able to get back on track with life"
we should not abolish the right to keep and bear arms because it's our right to be able to protect ourselves from those who cause us harm.,We should abolish the right to keep and bear arms,the right to bear and keep arms should be abolished as it is outdated in this age where we are no longer hunting for food or in the age of the pioneers
the use of weapons of such destruction can not be justified,We should fight for the abolition of nuclear weapons,nuclear weapons are destructive and unnecessary
Absolute judgments may lead to people paying for crimes they did not commit,We should abolish capital punishment,capital punishment is inhumane and often an unfit punishment for the crime
guantanamo bay prisoners are subject to torture which goes against our laws and morals and should be closed.,We should close Guantanamo Bay detention camp,"we should close guantanamo bay since the treatment of these inmates is likely inhumane and some are there with no real proof they belong there, but will never even get a trial."
as it is becoming increasingly obvious that they are too dangerous to keep. they cause devastating destruction and in the wrong hands could cause the end of the world.,We should fight for the abolition of nuclear weapons,we should fight for the abolition of nuclear weapons because is fundamental for world peace
zero-tolerance policy should be adopted to teach children disciplined and to help prepare them for a life where rules apply.,We should adopt a zero-tolerance policy in schools,"we should adopt a zero-tolerance policy in schools to make it clear that no amount of bullying, bad behavior, or insubordination will be tolerated so we can have safer schools."
people have the right to eat anything they would like.,We should ban fast food,fast food is a lucrative business and it is not right to attempt to take someone's livelihood away from them just because some people eat in an unhealthy way too often.
safe spaces are just that - a place for people to go when behavior makes them uncomfortable.  abolishing safe spaces accomplishes nothing.,We should abolish safe spaces,"safe spaces should be abolished because without proper regulation, they can be just as dangerous as any where else."
they are very expensive and present high risk,We should ban cosmetic surgery,cosmetic surgery has too many risks of something going wrong compared to the benefit of looking more aesthetically pleasing.
"We should not end mandatory retirement because it opens up positions to women, people of color, and immigrants who were not able to take those jobs due to past discrimination.",We should end mandatory retirement,we should end mandatory retirement because it should be up to each individual what age they feel they are unable to work any longer
science continues to disprove large parts of religious texts thus rendering them redundant.,We should adopt atheism,We should not adopt atheism as people should be allowed to retain their own religions or belief systems as they see fit.
economic sanctions are useful to stop bad actions.,We should end the use of economic sanctions,economic sanctions can be very effective in bringing about social change
algorithmic trading or computer controlled trading does not allow for last minute trade that take into consideration small rising stocks.,We should ban algorithmic trading,algorithmic trading is too easily corrupted. it's far too easy to hack. if hacked it could completely destroy the economy and individual people's lives. it's not secure enough.
"the three strikes law is a waste of time and money, and does not serve as an effective deterrent against major crimes.",We should abolish the three-strikes laws,"Three-strikes laws are too harsh. Many people who have committed non-violent felonies - and in some cases, misdemeanors - have been given mandatory life sentences."
we shouldn't adopt libertarianism for orden and enevelope of people,We should adopt libertarianism,Libertarianism is just a stop on the way to tyranny; too much freedom allows the majority to overrun minorities.
The blockade of the Gaza Strip should be ended because the harm it does to Gazan civilians is disproportionate to the amount it increases safety for Israeli civilians.,Blockade of the Gaza Strip should be ended,"blockade of the gaza strip should be ended because the conflicts need to be finished, a resolution should be found and people should be able to get back on track with life"
no criminal should have protection that allows them to commit crimes,Entrapment should be legalized,entrapment should be legalized because sometimes this tactic is the only way to apprehend repeat offenders.
homeopathic medicines are boycotted by western medicines for their inexpensive cost and all-natural method of curing.,Homeopathy brings more harm than good,homeopathy can interact badly with real medicine.
space exploration can allow for satellite placement to warn of weather as well as the actions of countries that intend to cause harm.,We should subsidize space exploration,subsidizing space exploration would allow for valuable insight into technology that could be used in everyday life
"safe spaces are essential for communities who face persecution and exclusion, allowing them to communicate and help one another.",We should abolish safe spaces,"safe spaces are vital to many, especially on campuses where the students that feel excluded or discriminated against have a safe haven to enable them to feel comfortable in continuing their education"
cosmetic surgery isn't medically necessary,We should ban cosmetic surgery,cosmetic surgery has too many risks of something going wrong compared to the benefit of looking more aesthetically pleasing.
over sensitive people will be offended if we don't.,We should adopt gender-neutral language,if everything was spoken about gender neutrally then no one would be offended.
affirmative action allows people to pursue a career that they may never have considered without help from the program.,We should end affirmative action,affirmative action is crucial to help correct for years of prejudice.
however these policies can impede the advancement of children from troubled backgrounds or with additional needs. they need a safe place to learn in a positive behaviours in a supportive environment.,We should adopt a zero-tolerance policy in schools,"we need to remember we are talking about children not criminals, this policy is far too harsh and unnecessary. let children be children."
guantanamo bay has been there for years and closing it now seems pointless when it’s still being used.,We should close Guantanamo Bay detention camp,"guantanamo bay detection camp has proven to be effective in dealing with modern terrorism, so we should be happy to keep it"
private military companies take on missions when our military doesn't have enough manpower.,We should ban private military companies,private military companies perform useful support roles in conflict zones around the world
prayer in schools forces religion upon children which violates their 1st amendment rights.,We should prohibit school prayer,we should prohibit school prayer because there is supposed to be a separation between church and state and because it's not fair to promote one religion over another.
Racial profiling can be useful for aid or responsiveness because of correlations between race and poverty or anger at the government.,We should end racial profiling,Racial profiling creates division among the different groups in a community.
economic sanctions encourage hostility from the target group.,We should end the use of economic sanctions,economic sanctions are useful in deterring unacceptable behavior from other governments.
it is an effective and non violent method of motivating oppressive regimes to amend policy,We should end the use of economic sanctions,economic sanctions can be very effective in bringing about social change
economic sanctions are sometimes the only thing that a leader will respond to,We should end the use of economic sanctions,economic sanctions can be very effective in bringing about social change
cosmetic surgery can make a huge difference to those who have self-esteem problems due to their appearance.,We should ban cosmetic surgery,cosmetic surgery has too many risks of something going wrong compared to the benefit of looking more aesthetically pleasing.
we should abolish the three-strikes laws because it is a waste of tax payers money to give criminals so many chances,We should abolish the three-strikes laws,we should abolish the three-strikes laws because this causes inconsistencies in sentences and assumes that the prior convictions were rightfully handed down.
we shouldn't ban cosmetic surgery for minors because it can help those with birth defects to look normal,We should ban cosmetic surgery for minors,we should ban cosmetic surgery for minors because they are too young to decide what they want
the three-strikes law should be abolished. each convicted crime should be punished individually.  it isn't right to judge a person solely on their criminal history.,We should abolish the three-strikes laws,we should abolish the three-strikes laws because this causes inconsistencies in sentences and assumes that the prior convictions were rightfully handed down.
autonomous cars  could provide a safer means of travel in the future with no human error.,We should stop the development of autonomous cars,"autonomous cars reduce accidents and keep drunk, drugged and even sleepy drivers from getting behind the wheel."
Fast food should be banned as it has resulted in an unprecedented obesity epidemic that is putting great strain on health services throughout the world.,We should ban fast food,fast food provides minimal nutrition and is addictive with no health benefits so should be banned to preserve the health of the population.
"the executives already earn enough money to give more incentives, those incentives have to go to steps below where they are necessary",We should limit executive compensation,executives have been appointed or promoted to that position through hard work and deserve to be compensated for such
we shouldn't abandon televisions because they are a great way to get news and are a great source of entertainment and a way to relax.,We should abandon television,we should abandon television because it can lead to addictions of screens and missing out on time spent on other priorities like spending time with family and housework etc
Entrapment is an easy way for law enforcement to frame someone for a crime they did not commit.,Entrapment should be legalized,entrapment is sometimes a necessary tool to get the needed proof of criminal activity.
we don't subsidize stay at home moms so we whouldn't subsidize stay at home dads.,We should subsidize stay-at-home dads,we should subsidize stay at home dads because they can take care of the home and family just like a woman can.
we should not ban missionary work because if people want to help out others that is their business and no one elses,We should ban missionary work,missionary work should be banned as it can be abused and vulnerable people can be taken advantage of
whaling is a traditional occupation of some cultures and their cultural heritage would be lost if they were not able to continue whaling.,We should ban whaling,Whaling is essential to the economic well-being of certain countries.
"payday loans are steered towards those that can afford them the least, so should be banned.",Payday loans should be banned,payday loans should not be banned because for many people that is the only way they are able to pay their bills on time and keep their homes.
"prostitution is choice everyone should be allowed to make,",We should legalize prostitution,prostitution should be legalized as it provides a service and reduces rape and sex crimes
"Safe spaces create an echo chamber where only currently accepted ideas are allowed to be spoken and any dissent is blocked out, preventing change and growth.",We should abolish safe spaces,safe spaces allow for people to voice concerns over discrimination and prejudice where they feel protected enough to have the confidence to speak freely. this is a great thing to combat discriminatory behavior.
a multi-party system would help bring new ideas,We should adopt a multi-party system,we should adopt a multi-party system so that we have more viewpoints to solve problems.
we should legalize cannabis because it is has many health benefits,We should legalize cannabis,legalizing cannabis as far as health is concerned can be beneficial since many of these substances are used as treatments for certain diseases
law enforcement should not be able to commit a crime in order to catch a criminal that didn't already exist.,Entrapment should be legalized,entrapment should be legalized because sometimes this tactic is the only way to apprehend repeat offenders.
"with collectivism  everyone is important and contributes, there's support.",We should oppose collectivism,collectivism takes care of everyone and not just those at the top
such a regime would create great social order in our country,We should adopt an austerity regime,an austerity regime helps to balance the nation's budget and reduce national debt.
we should ban algorithmic trading because trading should be done based on background knowledge.,We should ban algorithmic trading,algorithmic trading should be banned because it makes investors really reliant on technology and the systems that it deploys
autonomous cars are not capable of human emotion which can help assist in decision making when confronted with issues while driving.,We should stop the development of autonomous cars,"autonomous cars are dangerous and shouldn't be allowed.  we all know technology fails often, and allowing someone to put their life (and the lives of those around them) in jeopardy is not necessary in this way."
"cosmetic surgery is dangerous to start with, why should people make such risky moves for vanitys sake?",We should ban cosmetic surgery,cosmetic surgery has too many risks of something going wrong compared to the benefit of looking more aesthetically pleasing.
it is an insidious ideology making people associate with others based on arbitrary characteristics and leads to exploitation of group-think to enact tyrannies of the few by invoking the support of many,We should oppose collectivism,collectivism inhibits personal expression and can foster censorship and fascism.
factory farming should be banned as the animals in these farms are held in bad conditions.,We should ban factory farming,we should ban factory farming because it lead to the abuse of animals
missionary work tends to be invasive and dismissive of other cultures.,We should ban missionary work,"Missionary work can sometimes do more harm than good - for example, if religious missionaries discourage the use of condoms in a place where HIV is the main cause of death."
"People have a right to be represented by the best when they are facing potential fines, incarceration, or worse. Mandating public defenders strips people of this right.",The use of public defenders should be mandatory,public defenders should be mandatory because they can provide free legal representation to those who are accused
marriage is an outdated institution which serves no practical purpose in the current age.,We should abandon marriage,marriage is an outdated tradition that does not account for our changing society.
"payday loans should be banned the interest rates are outrageous and drive poor people into further debt, which makes the problem worse.",Payday loans should be banned,payday loans should not be banned because for many people that is the only way they are able to pay their bills on time and keep their homes.
if journalism is funded it would provide wider and better coverage therefore we would be better informed,We should subsidize journalism,"Subsidizing journalism would result in pro-government bias. Journalists would be less comfortable criticizing the government so as not to""bite the hand that feeds them""."
zoos do more harm than good to the animals that are held in captivity largely for entertainment purposes,We should abolish zoos,Zoos keep animals in captivity and deny them the right to their natural environment therefore they should be abolished.
people have the right to practice this rather than an organized religion.,We should adopt atheism,we should not adopt atheism because people have a right to believe what ever they want
the rights should stay with the individual who created it so they can prosper from it,We should abolish intellectual property rights,"intellectual property rights do not allow poor people to access valuable resources, knowledge should be free for everyone"
autonomous cars should stop being developed because they have mostly proven to be unsafe in navigating roads and traffic situations.,We should stop the development of autonomous cars,"autonomous cars are dangerous and shouldn't be allowed.  we all know technology fails often, and allowing someone to put their life (and the lives of those around them) in jeopardy is not necessary in this way."
The foster care system strips children of autonomy by forcing them to pass every decision about after school activities or hanging out with friends through a social worker that is difficult to access.,Foster care brings more harm than good,"Foster care offers little stability for children already suffering hardships, putting them at an even greater disadvantage and giving them less of a chance of a normal life."
we should prohibit women in combat because they are a liability.  it is far more likely they will be targeted than a man.,We should prohibit women in combat,women are just as capable as men to perform the tasks needed in combat and they should not be banned from it.
the olympic games have become obsolete in this shrinking world.,We should abolish the Olympic Games,we ought not abolish the olympic games because they provide an international gathering every four years that increases global harmony and provides exciting competition for the world to watch
people could be less likely to play their part,We should oppose collectivism,collectivism encourages laziness and lack of ambition by rewarding everyone equally
telemarketing is intrusive and violates the right to private property,We should ban telemarketing,telemarketing is annoying for people as they do not request a phone call and vunerable people such as the elderly often feel threatened into taking part.
We should not legalize prostitution as it will only lead to more people trafficking and underage people being lured into this kind of work as people seek to make more money .,We should legalize prostitution,prostitution should be legalized as it provides a service and reduces rape and sex crimes
austerity can be helpful in restructuring a county's debt.,We should adopt an austerity regime,an austerity regime helps to balance the nation's budget and reduce national debt.
Women are just as capable as men in modern warfare so we would lose half of our available fighters by not allowing them.,We should prohibit women in combat,Women are just as capable as men in modern warfare so we would lose half of our available fighters by not allowing them.
the military should keep all their intelligence in house so i think private military companies should be banned.,We should ban private military companies,"private military companies are wrong and should be banned immediately.  they are being paid to create war, not to help prevent it."
we shouldn't close guantanamo bay detection camp for national security,We should close Guantanamo Bay detention camp,"we should close guantanamo bay detection camp as there have been numerous stories from inmates of inhumane conditions, ill treatment and torture."
it is a culture that it is hard to break the higher your position in a company the more you receive compensation,We should limit executive compensation,executives have been appointed or promoted to that position through hard work and deserve to be compensated for such
fast food is no good for anyone because it makes people fat and unhealthy.,We should ban fast food,fast food is high fat and unhealthy food
polygamy is often times used by cults to raise masses of children who can then be taught whatever the cult believes and keeps the females as legalized chattle.,We should legalize polygamy,"in this day and age, we recognize non-traditional family structures as legitimate and polygamy should be no different."
we should not subsidize a private company that is putting out possible false information.,We should subsidize Wikipedia,"government subsidies open the door to government control, this would potentially ruin the impartiality of wikipedia"
payday loans often have murky and confusing terms that can trick consumers into paying way more than they expected,Payday loans should be banned,payday loans take advantage of  the poor while charging insane interest rates.
there are now many media to access entertainment such as game consoles and smartphones. as time goes on television will become more and more outdated.,We should abandon television,"Television has become an integral part of our culture that we should cherish. It not only provides great entertainment, but it's also an excellent educational tool and allows us to keep up with the latest news."
"considering there are more women in this world, polygyny would give more of them the chance to get married",We should legalize polygamy,"in this day and age, we recognize non-traditional family structures as legitimate and polygamy should be no different."
some minors may have physical deformities or may seem unattractive.  cosmetic surgery can help them look more normal.,We should ban cosmetic surgery for minors,"Cosmetic surgery is near permanent, minors cannot contextualize these changes due to their short life experience, and so are not mature enough to make sure life-changing decisions about their physical appearance."
people should be able to live how they want celibate or not,The vow of celibacy should be abandoned,the vow of celibacy leads to too much abuse of women and children so should be banned.
"libertarianism can never work because, eventually, a small group of people will come into power and take charge over everything.",We should adopt libertarianism,"Libertarianism doesn't work. Government intervention and financing are necessary for so many facets of society - education, health, and safety, to name a few."
you need to look at the circumstances.  what if a child was in an accident and need cosmetic surgery in order to fix themselves and lead a normal life?,We should ban cosmetic surgery for minors,"Cosmetic surgery is near permanent, minors cannot contextualize these changes due to their short life experience, and so are not mature enough to make sure life-changing decisions about their physical appearance."
prayer belongs in church not in school,We should prohibit school prayer,"school prayers are outdated in a modern society, religion is a private matter someone should practice at home"
"Sometimes, no single party is able to get a clear majority. This leads to hung parliaments.",We should adopt a multi-party system,people need multiple parties to chose from so they can find something closer to their own values.
"algorithmic trading has been responsible for several mini market collapses, since computer systems lack the human sensitivity to look outside the stream of meaningless numbers to a wider context.",We should ban algorithmic trading,algorithmic trading has been reported as one of the main causes of the greatest fall in the dow in decades
the three-strikes laws has no impact on crime,We should abolish the three-strikes laws,"Three-strikes laws are too harsh. Many people who have committed non-violent felonies - and in some cases, misdemeanors - have been given mandatory life sentences."
capital punishment is an outdated system that needs an upheaval.,We should abolish capital punishment,capital punishment is inhumane and often an unfit punishment for the crime
"our justice system follows the constitution for a reason, and if more and more judicial activism takes place the us will have a broken justice system",We should limit judicial activism,"judicial activism underminines the legal process, since it corrodes the value of the initial court determination."
factory farming allows for a much  larger production of food for society,We should ban factory farming,factory farming allows for greater food production to feed a growing population.
whaling allows for the resources to generate many of today's products.,We should ban whaling,There are several whaling communities that depend on the hunting of whales to survive.
people should have the freedom to choose their own.,The use of public defenders should be mandatory,if a person can pay for a better lawyer they should have the right to do so.
public defenders are a way to protect those that are unjustly accused of crimes,The use of public defenders should be mandatory,public defenders should be mandatory because they can provide free legal representation to those who are accused
we should stop the development of autonomous cars because it makes people lose out on jobs,We should stop the development of autonomous cars,autonomous cars will take away jobs from drivers
space exploration could serve as an insurance policy should something devastating happen to our planet.,We should subsidize space exploration,space exploration is a good adventure. our planet is in a future risk of extinct and we should best prepare our refuge in space exploration
human cloning can help further scientific developments in curing diseases,We should ban human cloning,human cloning can help doctors find a cure for illnesses we otherwise won't be able to survive
"when we impose economic sanctions, quite often it is the every day people of a country that suffers the most.",We should end the use of economic sanctions,economic sanctions can be very effective in bringing about social change
Wikipedia is a popular source of information available to a vast number of people.,We should subsidize Wikipedia,wikipedia is a valuable resource used by many around the world. it is an important source of knowledge that should be subsidized to ensure it remains free for all to use.
payday loans cost more money than its worth.,Payday loans should be banned,payday loans take advantage of  the poor while charging insane interest rates.
"the vow of celibacy is important to some to show their religious devotion. it is a matter of personal choice, and should not be interfered with by the state.",The vow of celibacy should be abandoned,the vow of celibacy is important to some people and to some faiths; it should be a personal decision not something that is simply abandoned entirely.
whaling by some people is used to feed entire communities and is necessary to their way of life.,We should ban whaling,There are several whaling communities that depend on the hunting of whales to survive.
"Far too many students are using higher education as an excuse to mess around for a few years rather than taking it seriously, we definitely should not be subsidizing loans to make it any easier for them.",We should subsidize student loans,"education is expensive, and subsizing student loans encourages an academic career path, creating individuals who typically go on to contribute more to the economy via higher paid jobs."
You can't legalize marijuana until you find a way to do test for it on auto drivers.,We should legalize cannabis,Legalizing marijuana would end the costly enforcement of marijuana laws and free up police resources which could focus on more serious crimes.
homeopathic remedies are not medically tested and verified as safe.,Homeopathy brings more harm than good,homeopathy can interact badly with real medicine.
"guantanamo should be closed, its a semi lawless operation thats a symbol of us oppression of immigrants suspected of criminal behavior.  other more human detentions are available so it is no longer needed.",We should close Guantanamo Bay detention camp,"we should close guantanamo bay since the treatment of these inmates is likely inhumane and some are there with no real proof they belong there, but will never even get a trial."
