,idx,query,res
123,123,"peoples reactions emotional expressions are different and people are different some people can have bad emotional expressions and it could be harmful, and it could be painful for others. People can have really great emotional expressions, like being happy all the time. It says in paragraph 1 that Mona Lisa is 83 percent happy, 9 percent discusted, 6 percent fearful, and 2 percent angry. People can be the complete oppisate of that and it couldn't be good on other people, But people can also be like Mono Lisa and it makes the inviornment a better place knowing people are happy and not sad, discusted and angry. ","Leonardo Da Vinci was one of the greatest reniassance painters of the time. His study of the human anatomy allowed him to create pictures that captured the humna state. On of his most well known paintings is the ""Mona Lisa"". The Mona Lisa is a women that has sort of complacent facial features. She doesn't really look happy or sad. This was the popular thought up until a new technology was created. This technology is called the Facial Action Coding System. This technology is able to deduce what emotion a person is feeling. It is able to do this whothout the person even showing an obvious emotion. This technology can also be implenmented in many spheres of life, including in the classroom. "
124,124,socializing with their peers. ,Social interactions and collaboration with peers is a beneficial learning aspect that cannot be accessed at home. 
125,125,Like if you wanted to know how your dog or cat felt about you all you had to do was turn on the FACS and see. We could also see if lions kill becaues there mean or becaues they dont know what eals to do. Many things could be uncover thnks to FACS. ,"Lets say you want to buy a dog, your first dog. You dont know much about taking care of dogs so you ask a few people their opinion on your choice, your family loves the choice even though they never had a dog. So you go to ask your friends they say, ""Yeah! You totally should do that, it would be so cute."" Now you go ask a experienced co-worker he says, "" Your dog can be one of the best things that happened in your life but you have to find the right moment, because if you work to much and cant take care of it its not worth it to you and your dog. Also it is a lot of money and time, you have to pay almost 100 dollars a month just to feed it on top of your time, taking it on walks in the morning, middle of the day, and at night. It just not might be fit for you right now."" So you take that into you pile of opinions, sure its fun and cute but maybe your not ready for it, its not fair to the dog. This is also another reason why you should ask multiple people their opinions "
126,126,Some school offer distance learning as an option for students to attend classes from home by way online or video conferencing because for some students that's the best way to take their classes but for other student is not the best way because some student have to work after school and they have other responsabilities to do ,"Some schools offer distance learning as an option for students to attend classes from home by way of online or video conferencing. This allows students to learn in the comfort of their own home, without having to transport to a private, or public school. This may be convienent for parents who work on a busy schedule, allowing them to choose when and where they want their chilldren to learn.  Although online schooling my be beneficial to some children, it may harm their future. "
127,127,But over time sand bulid over it gave what it look like in 1976. In the photograph you can see that it maybe face but you can see that it can be a hill. What are the black spot in the photograph that we see here. It could be that is that can be made on mars by wnich it from by.                                      ,Three years later we recieved the best results possible. the photo not only showed no carvings but it also showed that there was no face at all! 
128,128,it restores some of the weight that large states loses ,"""The Electoral College restores some of the weight in the political balance that large states (by population) lose by virtue of the mal-apportionment of the Senate decreed in the Constitution "
129,129,Over all i think it a good thing. They learn how to do good in school and sports and to be responsible. ,"I think students who have less than a B average should be able to do sports, because doing sports teaches us students responsibility, and self discipline "
130,130,"If a student if feeling strong emotions such as saddness or fear; they need to talk to a friend about it, someone they can trust, not a computer. ","While school is a vaulable place to learn new information and facts, it is really a place for children to grow and become more independent and better human beings. While grades matter, the emotional and pyschological health of a student is far more valuable. The FACS technology could act as an army of school counselers. High School and Middle School students tend not to share their emotions, even with their parents. FACS could idntify students that are emotionally troubled, have depression, contemplate self harm or even have mental illness. Once students like these are identified then counselers and social workers could step in, allowing for students to be helped. Right now students that struggle with these issues do not share their feelings. They do not get help and carry on like they are fine. While many may turn out to be okay, even one taking their own life or somebody's else, is too much. While FACS may not be able to help or eliminate all signs of emotional distress, it can surely make a difference. Another benfit of using FACS is that it reads emotoins silently. Students don't have to potray a certain emotion for the technology to understand what they are really feeling. If a studnet is asked how they are, they probably give a surface level, I am fine, answer. The technology reads through that completely, eliminating awkard one on one conversatoins with conselers, and allowing for all students to be reached. "
131,131,having a car not only affects your daily life but allso affects your environment. ,"there are many advantages of limiting the use of cars. Not only does it promote and improve other forms of transportation, but it also decreases the amount of smog and air pollution, which are harming our environment.  "
132,132,NASA would be making our living situations a lot easier to handle of Venus by creating all of this new technology today in this age/era ,"NASA's advancements for Venus exploration are promising, ""For example, some simplified electronics made of silicon carbide have been tested in a chamber simulating the chaos of Venus's surface and have lasted for three weeks in such chaos,"" (7). Humans would not be able to use the most advanced technology, but durability is the goal, ""By comparison, systems (mechanical computers that use gears and levers to calculate) that use mechanical parts can be made more resistant to pressure, heat, and other forces,"" (7). If humans were to only hover over Venus, the possibilites are limited. Humans and technology have to be as close as possible. Technology that could last for a few weeks is enough to vastly expand our knowledge. Mechanical computers are now obsolete, but in Venus would be a valuable tool, just like the other electonics being made. Researchers have worked tirelessly to continue making Venus exploration a reasonable reality. "
133,133,"First,Professor. Thomas Huang of the beckman Institute for advanced Science at the University of Illinois working with  Professor. Nicu Sebe of the University of Amsterdam. Dr. Huang and his colleague are developing better ways for humans and computers to communicate which the proces begin when a computer constructs a 3-D computer Model of the Human face that contains all 44 major muscles in the model that must move like Human. ","In the excerpt, ""The software is the latest innovation from Prof. Thomas Huang, of the Beckham Institute for Advanvced Science at the University of Illinois, working in collaboration with Prof. Nicu Sebe of the University of Amsterdam,"" shows just how recent this technology is. (D'Alto 1). With this in mind, if students were able to be introduced and subject to this technology, there could be future scientist that want to further improve this technology and, until then, would be more involved in it's place at school. (D'Alto 1). Also, due to the fact that this technology is not only limited to the classroom, it is then evident that other jobs could be produced out of this technology being in the classroom, sparking interest in young and vulnerable students. As the author includes, ""The same technology can make computer-animated faces more expressive--for video games or video surgery,"" it is showsn just exactly how various the fields are that this technology could be used in. (D'Alto 6). Whether a kid is devoted to learning about medicne or engrossed in playing games, it has been shown that this technology in the classrooms would expose these kids to it's capabilities and potentially create a passion. (D'Alto 6). Therefore, by including this technolgy in the classroom with it's own purpose, the students would be subject to technolgy that is blooming in several fields and could easily inspire a child to become something that utilizes this technology in their future. "
134,134,"The electoral college is unfair, outdated, and irrational it officail !!!. Also arguments against direct elections are apurious at best. Bob dole was right:abolish the electoral college.  ","""It's official: The electoral college is unfair, outdated, and irrational. The best arguments in favor of it are mostly assertions without much basis in reality. And the arguments against direct elections are spurious at best. It's hard to say this, but Bob Dole was right: Abolish the electoral college!"" "
135,135,the canidate gains no electoral votes by increasing his plurailty. that is a desirable result because a candidate with only regional appeal will umlikely succed to be a president. ,"No region has enough electoral votes to elect a president. So a solid regional favorite, such as Romney was in the South, has no incentive to campaign heavily in those states, for he gains no electoral votes by increasing his pularity in states that he knows he will win."" A presidential canidate should be able to gain votes from his region because that is the states the canidate are more familiar with so, he will be able to campaign better in those states and if he becomes president he will be equal to all the other regions. You could avoid this with the fair method of popular vote. "
136,136, People in this world always going off on what people say or showing them computers dont always be right ,"Schools would be getting rid of their on campus schooling but would still host extracurricular activities and sporting events, along with gym classes, as well as dances and pep rallies. This would help retain student friendships at school. Students cheating on assessments has been a problematic in all school systems for years, writing on your arms and hands, looking at a friend's paper to see which bubbles they filled in, or even feverishly copying someone's homework in the hallways outside of a class. "
137,137,"But one the other hand, there saying that they might change it to the election of the popular votes of the president of the United States. I think they should keep using the electoral college because it actually have better benefits or outcomes because you know who you voted for and from what they told you ","In conclusion, I strongly feel that we need to change to an election by popular vote.  Above all, it is more fair to the people.  Citizens would feel that their votes matter more than they do now.  People wouldn't have to be worried about if the electors would flip on what they had voted for.  Although some say its is absolutely fair throughout all the states, there are still the set backs that come along with keeping an Electoral College.  I agree with former presidents, Nixon and Carter, that we need to abolish the Electoral College.  All of these reasons show you the problems there are with the current system of electing our President and I know you will agree "
138,138,I think of people need make manny technology because actual computers can be trick ,"hacking is commonly a misunderstood phenonenon. The aboslute requirement for all hacking is access to the device that someone wishes to hack usually through some internet connection on the device linked to other functions. This is easily remedied through the use of local software on the driverless car, cutting it off from the internet as well as making the entertainment and information systems independent of the driving system. "
139,139,As I read more not all the people were ok with the problem ,"Most people would think ""I could never do that! No one could live like that and still make a living!"" Honestly though, it's been doing the city of Bogota in Colombia, a city comprimised of 7 million citizens a favor. They held a event for only one day evey year since the mid 1990s to improve and ""...promote alternive transportation and reduce smog."" (Paragraph 21, Selsky) Doing this has sparked a revolution of change thoughout the whole city. More people are willing to walk insted of drive to help the enviorment and the place they live in, and the city is giving right back to them! ""Parks and sports centers have also bloomed throughout the city; uneven, pitted sidewalks have been replaced by broad, smooth sidewalks; rush-hour restrictions have dramatically cut trafic; and new restaruants and upscale shopping districts have cropped up."" (Paragraph 28, Selsky) "
140,140,"according to the gallup poll in 2000, 60 precent of voters would prefer a direct election the electoral college is losing the little defenders it has and due to the spurious arguments the electoral college should be abolished ","according to the article a gallup pole in 2000, taken shortly after Algore thanks to the quirks of the electoral college won the popular vote but won the presidency, over 60 percent of the voters would prefer a direct election to the kind we have now. Electoral college is unfair to voters. Because of the winner take all system in each state, canidates dont spend time in states they know they have no chance of winning, focusing only on the tight races in the ""swing"" states. "
141,141,"GM has developed drivers seats that vibrates when the vehicle is in danger of backing into an object traffic jam assissant the car handle driving functions at the speed limit of 25 mph but special touch sensrs make sure the drivers keep hold of the wheel. the combination of all this input is necessary for the driverless car to mimic the skill of a human at the wheel.  The car read the positive and negative polarity as messages in binary code. these smart road systems worked surprisingly well, but they required massive upgrades to existing roads, something that was too expensive to be practical. ","For example, BMW developed the ""Traffic Jam Assistant."" This car could handle driving functions at speeds up to 25 mph. This car also had special touch sensors to ensure the driver holds onto the wheel. Having cars that aren't fully driverless allows the driver to remain alert, so they can take over when there is a situation. This is a great thing about these cars. There are driver seats that vibrate when the car is in danger of backing into something. The Google car announces when the driver should take over. Other cars might have flashing lights or other signals that warn the driver to take control of the vehicle. "
142,142,Yes that's right they do have to make it to the candidate first they just can't walk up there first you got to be president by the pesident frist if you not by him or here then you messe dup for goood ,Whats up with the electoral college? Can we really trust it? Ofcourse you cant and all that apose can stand up and walk out the door .The presidental race is a fake!!! So the goverment wants to tell you that you need to be a citezen to vote but what are you voting for? 
143,143,"The people who don't like the idea usually become pessimists who hate everything, ",it could lead the person to very opinionated or buyist thoughts 
144,144,"There are many veiw points of the Electoral College, but most would decied that its unfair, outdated, and irrational. The best arguments in favor of it are mostly assertions whithout much basis in reality. ","In conculsion, ""It's offical: The electoral college is unfair, outdated, and irrational. The best arguments in favor of it are mostly aserations without much basis in reality"", according to Source 2.  I would like you to consider all the problems our nation is facing due to the Electoral College. I have stated two contentions of why you should abolish the Electoral College; First,the method of how its done is very bias and unfair and secondly, because the Electoral College is a ""Disaster Factor"" or  causes many disruptions in our country. "
145,145,"Secondly, the average temperatures of Venus is over 800 degrees Fahrenheit. ","The next problem that Earth faces in studying Venus is that temperatures on this planet exceed 800 degrees Fahrenheit, a temperature found nowhere on Earth "
146,146,That is the reasoning behind the fact that I agree with both sides here ,"""Do you want to be apart of a Electoral College""  Electoral colleges. Do you know what this means? An electoral college is a process of multiple facts. Not a place. As everyone thinks Electoral College sounds decieving because the word ""college"" in the name but apparentley thats not true. The founding fathers established it in the constitution as a compromise between election of the President and votes by the people of America. Dear Senator, this is where I begin rambling on and on about how the electoral college is wonderful and great. But I am just going to let you in to alittle bit of knowledge behind the thinking, before you get your fingers in a knot. "
147,147,To them the president isn't their president. The winner/ the president gets all the awards and receive the most infromation. ,"This systen includes various methods like the ""winner take all"" system that gives the presidency to the winning candinate of the eletors votes "
148,148,Why are scientist wasting their time trying to explore it and how would we know what is actually in Venus if we haven't yet explored it. ,"Many scientist are looking for a way to get samples of rocks,gas,or anthing else that they can use to find out more about venus but they cannot do that "
149,149,"lets just say u live in texas and wanted to vote for for john kerry youd vote for a slate of 34 democratic electors pledged to kerry. On the off chance that those electors won the state wide election,they would go to congress and kerry would get 34 electoral votes. Who are the electors? They can be anyone not holding public office. ","In the case that you vote John Kerry in Texas, you'd vote for a slate of 34 Democratic electors pledged to Kerry. In the case those electors won the statewide election, they would go to Congress and Kerry would get 34 electoral vote. Who are the electors? They could be anyone, even if their not holding office. Who even picks these electors in the first place? Sometimes it state conventions, other times it's the state's central committee, sometimes the presidential candidates themselves. Can we, citziens of the United States, control whom their electors vote for? Not always, and that shouldn't be.  "
150,150,some scientist still today though study the plant. And trying to find a way to go there but the tests that there getting back isnt good ,"I find it highly unrealistic that NASA would even have been able to determine what the Face was forty years ago, much less hiding a discovery of extra-terrestrial life that could make a huge profit for the space program. And, had NASA really claimed that the Face was an object built by otherworldly life, surely someone would let the cat out of the bag. Not to mention that, if the vast majority of NASA believed it was an alien monument, do you really think that they would wait eighteen years to investigate the subject again? On top of all of this, it's simply illogical that aliens would create such a thing. As far as we all know, the supposed ""aliens"" on Mars have never come in contact with a human, much less seen one. That only leaves possible explanation; aliens created a monument that of which coincedentally resembles a human head. An absolute coincedence. "
151,151,You can work at a soup kitchen at lunch or set up fund raisers for people with special needs. ,Community service is a way to distinguish selfish people from selfless people. Some people do large amounts of community service such as working at a soup kitchen and donating food to a food bank. Some even take it to the next level by going and helping out in places like Africa. Unfortunately not all people are open to helping people. 
152,152,Example like what happen to Colorado. It use to have a river but after years the water started to evaperate and it started forming big giant rocks ,"Earth, unlike Mars, has an atmosphere. It keeps in heat, but changes. Earth also has water and life. If this were to be a cause of the rocks, hills, and mountains, then it could be said that the face on Mars was not created by erosion, water, or anything like that "
153,153,"Basic precepts are being adopted around the world in attempts to make suburbs more compact and more accessible to public transportation, with less space for parking. In this new approach, stores are being placed a walk away, on a main street, rather than in malls along some distant highway. ","In Vauban, ""stores are placed a walk away, on a main street, rather than in malls along some distant highway"" (Source 1). This is not only much more cost-efficient, but also convienent. This is saving both time and money, just like in Bogota where ""parks and sports centers [] have bloomed throughout the city; uneven, pitted sidewalks have been replaced by broad, smooth sidewalks; rush-hour restrictions have dramatically cut traffic; and new restaurants and upscale shopping districts have cropped up"" (Source 3). Not only does this help individual citizens and business owners, it helps the overall economy of the city as well.  "
154,154,And mostly because if we were to change it then the most of the former US Presidents would'nt even be President because of there rivals ,"Richard Nixon, Jimmy carter, Bob Dole, and plenty of oothers think that it should change because according to a gallup poll in 2000 taken shortlyafer Al Gore he wonn the popular vote but lost the presidency dur to the quirks of the electoral college. in the Electoral College system people vote not for the prresident but for a slate of electors as i had said in the last pargrraph who in turn elect or the president. electors could be anyon not holding public office. voters sometimes control who there electors vote for. wich makes the voters sometimes get confsed about the electors wich makes them vote for the wrong candidate. In the 2000 fiasco was the biggest election crisis in the centery. in 1960 segegaters in Louisiana legslater nearly suceeddin replacing Democratic electora with new electors. So that the popular vote for Kennedy woulld not have actually gone to Kennedy. So them electors in the same vein they qould have to occasionally refuse to vote for the partys cannidate and cast a decideiing vote to who ever they please. "
155,155,you have more ideas ,"you might receive better ideas, "
156,156,It can be good for them because they might enjoy it ,it would be enjoyable. 
157,157,The gorveners and presitdent are trying to bane cars for good. ,"Everybody knows somebody like this in their lives; a homebody, someone who prefers staying home over going out, maybe doesn't have too many friends or has trouble forging bonds and building relationships. You may also call these people recluses, or shut-ins, but either way, you've stumbled across someone who fits this mold. Favorite characters even, like Oscar the Grouch or Angela from The Office, can be used as lovable examples. However, these traits are not always so endearing in a young child. "
158,158,"Next, Authors reasoned these images would be a great way to engage Mars and the other people; it did. The ""face of mars' became a huge icon for twenty five years. Soon it dtarred in films, was seen in books and magizines and most favored in grocery store lines. Photographing Cydonia beame a priorty for Nasa when MGS, Mars Global Surveyor arrived agian in September of 1997 which was a long eighteen years after. ","Some of the biggest tricks played are constructed by the eyes. When the first image of the face on Mars was revealed, the features such as the eyes and nose were most likely created by shadows. In the article it explains, ""A few days later NASA unveiled the image for all to see. The caption noted a 'huge rock formation...which resembles a human head...formed by shadows giving the illusion of eyes, nose, and mouth."" "
159,159,"Things are changing fast we have to change with them.  This is why this technology is so valuable, we can use it in many ways even if its not important.  We can still get use out of it, so why not make it a thing? In the article it says ""She is 83 percent happy, 9 percent digusted, 6 percent fearful and 2 percent angry"" talking about the Mona Lisa painting.  Now you cant tell me that that is not cool at all. ","Lastly, modern day technology is known for its speed and cinvenience to access information. In paragraph 7, the author discussed how electronics we simplified to last at least three weeks in simulating conditions to Venus. He explained, ""modern computers...tend to be more delicate when it comes to extreme physicakl conditions."" He supported this claim by informing readers that older technology, mechanical computers, have been re-evaluated and seem to have better calculations but involve levers and such. "
160,160,"After Luke Bomberger graduation, he had two jobs he worked ar a grocery store and a bank. so when his friend ask him to go to europe on a cattle boat. in the passage luke said that he could not say no. It also includes that it was an opportuity of a lifetime.  In the passage i said that unrra hired ""Seagoing Cowboys'' to take care of horeses, young cows, and mules that were shiped overseas. and Luke and Don sighned up. I think luke sighned up because he was helping out on his aunt farm. So he knew alot about helping with animals. ","In the novel,  Educated, by Tara Westover, Tara's family did not allow her to go to public schools that were endorsed by the government. Instead, Tara was home schooled, inconsistently, by her mother, through her middle school years; but she primarily worked with her brothers and father in a junkyard. Westover and her family lived a simple, somewhat poor lifestyle in the mountains of Utah. Some families suffer from the same burdens and need their children to work on the farm or in the shop with them. Rather than quitting school altogether, the children could take online courses to receive the education required to build a better life for themselves, while at the same time, helping their family.  In the same way, not only would online courses allow students to fulfill duties to the family, such as working, students can also prioritize their hobbies and ambitions;. For example, in this generation, common teenagers gain fame and fortune from becoming social media influencers. This requires them to travel for meet and greets with fans, have tours, always take pictures, make videos and advertise products. Additionally, some athletes are apart of extremely competitive travel teams that require them to travel often for tournaments and competitions. Such extracurricular activities should not be given up because it interferes with school. Those activities are the passions and hobbies of some individuals and online schooling would allow them to get their education and participate in events they love.  "
161,161,"This icon have became very popular. For example in pargargraph 5 its says "" its starred in Hollywood Films, appeared in books, magazines, and is in radio talk shows. This shows that the icon is really popular and many people know and talk about the icon. ","You would imagine that being on a phone call would be top 3 or 5, but it's not that commun seeing people on a phone call. One of the main reasons it's obviously texting. Another big reason is facebook, snapchat, any social media. A big reason is the camera, women just be taking pictures or videos of themselves, while on the other side guys have the trend to speed, or drive recklessly and record it to show it off. You also have people who find it entertaining to shop online or be reading the news as well as checking the weather. When people are really bored while driving or get stuck in traffic for a long period of time they are also watching videos or even movies. "
162,162,"The Popular States says that the electoral College system is out of date and lame , ",Having electoral voters instead of having the popular vote system is unfair to all. Basically the electoral college process consists of only a selection of the senators. The founding father have established this messed  up system in which it compromise between the election of the president by a vote in congress. It is highly unfair because of the winner-take-all system in each state. 
163,163,I think students should wait to get a cell phone because they not going to get nowhere with a cell phone but the same grade over again.  ,"For example , we need to forces on more important things such as school work and maybe after school activates. I think we shouldn't be able to have our phones because 50% of students that have cell phones fail there classes because while the teacher is explaining something important the student us either messing around or texting another student which is not only affecting he/she but others around them. "
164,164,"However, some people think that this could be an actule human life form on Mars ","Even if the cameras used to take these pictures weren't of the highest quality, said cameras would have been able to at least catch some photos of further signs of life. Things such as houses or buildings, for example. Now, if some one would like to argue that the aliens lived in caves or other natural formations of the sort, how would those people like to argue the fact that there are no visible creatures in any photos? Do they expect people to believe that every living thing on Mars decided to hide from a satelite they would not even be able to see from the surface? "
165,165,The new technology is very helpful showing about whats more to a picture or a frame. ,"As discussed before, NASA has taken a new and better quality photo of the Face in Cydonia. Using our scientific equiopment at NASA, we have proven just how much better the resolution is on the new phototgraph taken is. """"As a rule of thumb, you can discern things in a digital image 3 times bigger that the pixel size,"" he added. So if there were objects in this picture like airplanes on the gtround or Egyptian-style pyramids or even small shacks, you could see what they were!"""" (p. 11). This quote from the article shows "
166,166,"i mean what i can say so far about this artical yeah okay i understand where there coming from and all but its just i cant foucus on the part where i have to sit here an explain to yall that the women mona lisa demonstration is really to bring a smile to your face . The process begins whe the computer constructs3-d computers model to the faces . she also was also 83 percent happy 9 percent disgusted 6 percent fealful 2 percent angry . she was peaceful young lady to be honest . But while it shows as much as this computer can . imagine whst a computer that knows when your happy or sad . By the way making a happy face experiments also make you feel slighty happy . According to the feedback theory of emotion, moving your facial muscles not onlt the expresses emotion, btu also mau even help produce them ",Truthfully it is just another way to tell someone no to doing this or that or it is a continuation of limiting people on their creativity. Back in 6th grade most people had a problem with the art tecaher because she had such strict rules in a way it was either her way or the highway. No one could really understand why she had us doing things this way or that way. With that being said everyone was hoping that one day she would actually miss a day and one day she called out but then I looked around me everyone was having a fun time because they could express themselves through their art. All students need to be able to express themselves without having someone telling them that they are doing things wrong. 
167,167,Policy 2 is not the best choice because a lot of children are stubborn and not allowing phones to be on campus is just going to make them want to bring them even more ,"As a current student in middle school, I have learned how children use cell phones. If you are reconsidering the cell phone policy, I believe the second one is the only way to go. Children in this school may sneak their cell phones into class without the teacher ever knowing if they are not banned. This will also lead to students doing poorly in class because they won't be paying attention to the teacher. Also, the use of cell phones in a wrong way can cause a student to get hurt. Overall, I believe your second policy to ban cell phones in class is the best choice because after being a student in school, I know what will happen if they are allowed in school. "
168,168,in the article the the author said NASA's possible solution to the hostile conditions o the surface of venus would allow scientitis to float above the fray. Imagine a blimp-like vehicle hovering 30 or so miles above the roiling venusian landscape. Ths quotes means thta venus is pursuit because is halping people wiht the electronic such as vehicule. ,"This means there is a worthy reason to explore Venus; to discover another habitable planet. Along with successful life on Venus, our modern technology could also survive the planet. Paragraph 5 states, ""Imagine a blimp-like vehicle hovering 30 or so miles above the roiling Venusian landscape. Just as our jet airplanes travel at a higher altitude to fly over many storms, a vehicle hovering over Venus would avoid the unfriendly ground codnitions by staying up and out of their way"" (The Challenge of Exploring Venus). Moreover, if airplanes are already in existence, new aircrafts would need to be slightly adjusted to suit the conditions of Venus. The author's claim is supported in this quote because this is another reason Venus is worth exploring. The technology needed is already almost perfect for the planet, therefore not a problem NASA would have to approach. "
169,169,Principal I will be part of this program and i will help those elementary school students. ,"The principal has decided that every student must participate in at least one extracurricular activity. For example, a student could participate in sports, work in the yearbook committee, or serve on the student council. This decision should be slightly changed so that it only applies to the students who do not participate in an extracurricular activity of any kind. "
170,170,The reason is that the winning candidate's share of the Electoral College is because it eceeds the presidents votes. Most states have a winner take all method to figure out who represents your state. It would work but it would be very different then our old presidentual voting. ,"According to source one, ""What Is The Electoral College?"", each political party has it's own set of electors that equal the amount of congressional delegates per state. Usually each state has a ""winner-take-all"" method, so the presidential candidate that gets majority in your state will get all of the electors that represent their party, not just most of them. This is beneficicial to the outcome of the election becuase it makes the ability for a candiate to get majority vote much simpler. There is less of a possibility of a tie, or an outcome where no candidate wins. Source 3, ""In Defense of the Electoral College: Five reasons to keep out despised method of choosing president"", states that ""even a very slight plurality in a state creates a landslide electoral-vote victory in that state..."" , therefore allowing the candidate to secure all votes to their side, instead of having the votes divided on the line of majority rule, and causing rifts between Electoral College voters.  "
171,171,the Robot can study the plant while the astromistes stay on earth and they can egt data about venus thanks to the Robot. The Author says that NASA is always inventing new ways to get information from space and plants without doing it in person. ,"In ""The Challenge of Exploring Venus"" the author supports Venus is a worthy pursuit despite the dangers it presnts through his analysis of hovering, silicon carbide, and mechanical computers. He supports his ideas with evidence and also the analysis he has with his knowledge by research. He uses facts, and not a lot of opinions to express his ideas and belief that Venus is a worthy pursuit. He colcudes his argument that humanity's travels on Earth and beyond should never even be limited by threats of dangers or doubts. Without that, knowledge will be expanded and fuel the innovation of the human world and beyond. "
172,172,"Say if i were to buy a big pizza ,and it was cut into 4 big pices and 8 small. The 8 people ate there pizza but it didnt really matter but when the the other 4 people ate there pizza it did . ok say if i weree to have a even pizza  4/4  . one half where the people and the other half was the big people in charge so u can say....no matter what the people say its only going to have like 25/100 effect.  After reading a text its says ""when you vote for a presidential candidate you're actually vothing for a slate of electors' ","To be more specific, if none of the advice given is liked, then new ideas begin to spark. For instance, someone is deciding whether to buy a big box of cookies or not and they ask two people for advice. One person says to buy it, and the other says not to. If neither idea sounds right, the idea to buy a smaller box surfaces which is both pieces of advice combined. If only one piece of advice was taken then, the decision could have been completely different and had a different consequence. "
173,173,"Richard Nixon, Jimmy Carter, Bob Dole, the U.S Chamber of Commerce, and the AFL-CIO, in their time , agreed on? Abolishing the electoral college. Under the electoral college system, voters vote not for the president, but for the slate of electors, who in turn elect the president.  Who picks the electors? It depends on the state. Sometimes state conventions, sometimes the state party's central comittee, sometimes the presidentail canidates themselves. Voters can't controls whom their electors vote for. Well not always .Voters sometimes get very confused about the votes in vote for the wrong canidate.  The best arguement against the electoral college is called Disater Factor. The Americans should consider themselves lucky that the 2000 fiasco was the biggest election in a century. Back in 1960, segregations in Louisiana legislature nearly succeeded in replacing the Democratics with new electors that would oppose John F. Kennedy.  The Electoral College is widely regarded as an anachronism, a non-democratic method of selecting a president that ought to be overruled by declaring the canidates who recieve the most votes. A dispute over the outcome of an Electoral College vote is possible, it happened in 2000, but it's less likely than a dispute over popular vote.  The Electoral College requires a presidential Canidate to have trans-regional appeal. No other region ( South, Northwest, etc.) has enough electoral votes to elect a president. The winner takes all method of awarding electoral votes. The electoral College avoids the problems of elections in which no canidate recieves a majority of the votes cast. For an example, nixon in 1968 and Clinton in 1992 both had only a 43 percent plurality of the popular votes.           ","As you can see I am in favor of changing the elctoral college to election by popular vote for the president of the United States of America. Richard Nixon, Jimmy Carter, Bob Dole, the U.S. Chamber of Commerce, and the AFL-CIO all agreed on one thing, and it was aboloshing the Electoral College. Under the Electoral College System they vote not for the president but for a state of electors who in return elect the president. Last but not least, the Electoral College is just unfair in so many differnt ways. These are reasons why I am not in favor of the Electoral College but in the favor to elect by popular vote for the president of the United States of America.      "
174,174,"Anybodyvoted on who you wanted to win it go can cheat the number of votes to change the president they are voting for. With the Electoral College you can't do that because,  once you voted who you want to win, it get sent out tothe electors. Who from that point on count how many voted for both of them and decide a winner. ","A lot of voters who are not very well educated may not even understand what the electoral college is or what they are actually voting for when they vote. Instead of voting for the candidate that they want as the next president, they are voting for a group of electors that decide who will win. Sometimes, the electors that are assigned to that candiadate will not vote for them. This process also seems to disriciminate against the less populated states because they don't have as much a say in the college and are often forgoten in the rush of propaganda and aren't really aware of who they should pick and why they should pick them. "
175,175,"People can asume it is a human's face because it look likes it. Another thing is that there is human's face on it, can mean life on the planet, Mars. Also the rock or the artifact does have an Egyptian Pharoah, it could mean a human was at one point up there. It probably is possible to have civilization on Mars. ","In 1988 a Viking 1 took a, slightly disturbing, picture. Of a face! Viking 1 found a landform that happends to look like an Egyptian Pharoah. This face was found and started major controversy.  Some people had thought that it was fake and others thought that it was just a coincidence. The massive sand storms just created a face. That's all that they thought. But can that be true?  "
176,176,I reconsider that are principal should let us eight graders bring are cell phones to school and allow us to use them at all time except during class. ,"I think that you should think of allowing students to bring phones to school and let them use them during lunch periods and other free times, as long as the phones are turned off during class time. "
177,177,maby when i right this all down he will change his mind. i hope so. ,The author beleive that all of the risks he list in the article doesn't matter becayse we need to take risks sometimes. 
178,178,"Under the 23rd Amendment of the Constitution, the district of Columbia is allocated 3 electors and treated like a state for purpose of the Electoral College. The electors are generally chosen by the candidates political party, but state laws vary on how the electors are selected and what their responsibilities are. The president only haves four years, it is held every four years on the Tuesday after the first Monday in November. When you vote for your state they have a thing called winner-take-all system that awards all electors to the winning presidential candidate. However, Maine and Nebraska each have a variation of proportional representation. When the election is done they have a thing they do called Certificated of Ascertainment it lists all of the candidates who ran for president in your state along with the names of their respective electors. The Ascertainments are then sent to the Congress and then to the National Archives as part of the official records of the presidential election. ","Also it was like the first method to be used. In the first source ""What is the Electoral College"", the author gives some great information. The office states "" the electors are generally chosen by the candidate's political party, but state laws vary on how the electors are selected and what their resposibilities are"". In this statement the Office is stating on how whichever party a person might be in, the electoral college will come through. The reason is because each state has an Electoral college and those states are in differnet parties. If the state that a person might live in is Democrat then the electoral college will go for that party, and same thing for the Republican party. "
