,idx,query,res
95,95,"If the advocates of this position is correct in arguing that the Electoral College method is not democratic in a modern sense . It is the electers who elect the president, not the people . It is entirely possible that the winner of the electoral vote will not win the national popular vote. yet this has happened very rarely when Gore had more popular votes then Bush . It can be argued that the Electoral college method of selecting the president may turn off selecting the president may turn off potential voters for a canadidate who has no hope of carrying their state . And not having everyone vote mite throw things off too. but of courseno voters  vote swings a national election, and in spite of that about one -half the eligible American population did vote in 2012 's election. ","The Electoral College is widely regarded as an anachronism, a non-democratic method of selecting a president that ought to be overruled by declaring the candidate who recieves the most popular votes the winner"
96,96,It good to play do activiy but it a lot thing to do outside have fun or some we young sports is fun to but no one want to be and a hot gym half of the day out of energy when you get home you get home you going want to go to bed going to want to eat and sleep that it now activty a lot eat and sleep that it now activty a lot of work some don't like now who want sit after scool to do some work  ,Playing sports after school can help kids stay active and healthy. Join a sports team Exercise with friends. Play a sport it will help him/her get outside and get fresh air after hours of being stuck inside school.. Learn the skills that are necessary in the game
97,97,Most of the time electoral college makes mistakes on who they pick. ,"The electoral college is responsible for picking electors, who can go behind the peoples back and chose the president nobody wanted. This system or process is a total disaster. With this system in play, voters cannot control who they want to vote for and that is not how it should be"
98,98,"In the text it says that ""NASA possible solution to the hostile conditions on the surface of Venus would allow scientist to float above the fray."" It also says that "" not a single spaceship has toched down on venus in more then three decases. No spacecraft survived the landing for more than a few hours and no one had ever been there."" You could be the first one to land on Venus. This proves that since it is a dangers planet it would still be worthy seeing it. Now, lets talk about why it wouldn't be worthy seeing it. ",". The author states, ""NASA's possible solution to the hostile conditions on the surface of Venus would allow scientists to float above the fray."" This provides evidence that shows what a solution is to avoiding some of the difficulties that occur when trying to explore Venus."
99,99,It's illegal to drive with a phone and its multiple why you can't drive without a phone ,Don't operate a vehicle while using a phone at the same time.. The use of a mobile device should not be allowed while driving a car. Use of mobile devices while driving should be banned Even the act of just dialing a cell phone can be dangerous. Texting and driving make you 23% more likely to get in an accident. Avoid using your cell phone while operating your vehicle.
100,100,I think we should explore venus because venus might have the material that earth has not ,"We should continue studying Venus despite the dangers because if anything were to happen to our planet, Earth, Venus would be the closest planet we could go to, we could learn more about Venus and the planet's harsh conditions, and because Venus is most like Earth and had the ability to support life."
101,101,"So don't force us to do something we don't want to do, or buy something we don't want to buy, or force us to not buy something so we eat with dirty dishes.  ","I think it shouldn't be required because when students are required to do something they usually don't want to do it. We should really be doing things that can help ourselves and do community service whenever we want. Because if you force someone to do anything, we wont like it."
102,102,that why Venus is whorthy pursuit despite the dangers presents. ,The author uses strong details to support this claim throughout the article. Facts and statistics by NASA and other reliable sources are used to back the claims. The author stands by the opinion that studying Venus is a worthy pursuit despite the dangers it presents
103,103,"When you are using your cell phone while driving, you're doing all three types which are manual, visual, and cognitive. ",Using a cell phone while driving is putting you in a life or death situation that you wouldn't want to be put in.. Visual distractions are a nuisance a visual distraction is anything that takes your eyes off the road.
104,104,you wont have to worry about the hassle of having to call parents to come pick up the phone. ,"Texting while driving can take away the attention you are required to have on the road to ensure safety. Call your ride and tell them they need to come later. Talk to other classmates throughout your school may give you extra time to do this by sending a text or giving them a quick call, after all lunch time and free periods don't last forever."
105,105,This policy may work so students can bring their grade up and stop failing their classes. One way they can bring up their up and be able to participate in sports is by turning in there homework and completing their work in class. ,"I believe that this is a very fair and reasonable policy. It will force kids to work out to their full potential, and they will have better grade point averages. If you change the policy then many students will be willing to push themselves for better grades so they can participate in school activities."
106,106,"If the congress or whoever was to abolish the electoral congress vote I think we would see numerous of changes in our past history and our future, ","If the Electoral College were to be abolished and popular vote was to be instigated throughout the country, any semblance of a schedule would be torn away. Problems would spring up all over the place, and everything would all go to hell."
107,107,I really believe this change in your school's regulation could help your students develop into a fully grade A campus and be even better than before. ,"I think that it would be a nice change to help students get better grades. Having the students maintain an grade B average at our school is a policy that should be passed. Helping the students think for themselves, giving them necessary elements in life, and keeping them well rounded; this is what the policy offers."
108,108,If they every change the system to popular votes for the president it would be a honest choice ,The Electoral College does not provide a fair result nor a clear winner. The most popular vote system would significantly change that for the better of the country. In a popular vote election everyones vote counts not just those who are considered better than us because they hold authority over people. Those simple reason suggest why the senate should change the system.
109,109,"I have recently read an article by the name of ¨Driverless Cars Are Coming¨, and asked my opinion. ","I believe that driverless cars will be very beneficial to America and it's many modes of transportation. Driverless cars are machines, and despite having a notoriously bad reputation for failing at times due to some error during the design process, machines do not tire and do not grumble about watching their surroundings."
110,110,"Venus's knickname is sometimes called the ""Evening Star"" mainly because Venus is simple to see from the distant but safe vantage point of Earth has proved a very challenging place to examine closely.  It is also called the ""Evening Star"" because Venus is the closest planet to Earth in terms of density and size, and occasionally the closest in distance too. On Venus, the temperatures average over 800 degrees Farenheit, and the atmospheric pressure is 90 times greater than on Earth. ","The author does a good job by using details to support their idea by explaining how Venus is one of the nearest options to Earth for space travel. Saving travel time is one way Venus shows it is a worthy pursuit. Overall, the author conveys the usefulness of having Venus so close,"
111,111,But I feel they should take it a little more exstreme for things like could also have audio and could really help with peoples lives. Not even the bad emotions if you are happy or exicted it can sense that and something good could happen.  ,Ask others for advice.. Have more options than you need. Have a second opinion. Ask others about your situation. Take a little out of your time to ask others for your opinion. Take it a bit more exstreme
112,112,I hope you choose to become a seagoing cowboy and help out the people in need.             ,I hope you choose to become a Seagoing Cowboy for sure! If you like animals and travling this is the job for you! You can have so much adventure you would'nt even know what to do with it!
113,113,*they only do it like that at some schools* ,". Students in the public education system can only enroll in courses that are offered at their school. This may restrict students from taking classes that they are interested in or limit students from branching out and potentially finding a new passion.. Some students may possess specific learning disabilities such as ADHD, dyslexia, autism, mental illnesses, and more. In this case, these students require much more attention from their teachers to help guide them through this process, but an online class can only do so much. Social skills, much like life skills, have their place in students' daily lives as well. Attend a physical school"
114,114,luke bomberger wants to be a seagoing cowboy who rides the waves becuase he is used to riding the waves because he crossed the atlantic ocean 16 times and the pacific twice to help people affected by WW 2. he rode on a cattle boat to europe to be a sesgoing cowboy. his friend don reist is going and he knows that luke can surf. and don invited him and luke is working to jobs as a bank accountant and a grouchery store. so he has to decide wether he should go or he should stay at his zenith.  luke decides to go and it was 1945 in WW2 was all over europe many countries were left in ruins.  to help these countries all 44 nations joined together to form UNRRA hired seagoing cowboys such as luke luke and don signed up.  in august 1945 the two boys luke and don recived threir orders the report to new orleans. the ywo boys are doing this so they coud be a sea going cowboy.  the two boys arived august 14. the day the pacific war ended they got their seamans papers and boarded the ss charles w. rooster and they headed for greece.  the cattle boat trips were an unbeleiveable opportunity for a small town boy luke also toured china greece venice and a excavated castle. luke was at the atlantic ocean for two weeks and it took him a month t get to china. ,"Luke Bomberger. I was a Seagoing Cowboy. You might be pondering what that is. I saw that the world wasn't all sunshine and rainbows, like the little me thought. The world was full of unfairness and was my job, everybody's job, to help stop it."
115,115,I don't think the landform is an ancient artifact or any alian artifact i just think its a normal landform that happens to look like a human or alian face. ,"The ""face"" isn't any perticular shape that any man or alien would want. The landform would be shaped as a circle, square or any other simple shape, and it would not be so ridgid and cracked"
116,116,"There would be multiple guesses on how her face looks. In paragraph 6, the author says, ""The Mona Lisa demonstration is really intended to bring a smile to your face, while it shows just how much this computer can do."" Some people might say that she looks mostly happy, a bit disgusted, somewhat fearful, and a little angry. Or they might say all of them and more. We all have different minds, different thoughts, and a different sights at describing a picture. ",A new technology is called the Facial Action Coding System (FACS) that enables computers to identify human emotions. This technology is relatively brand new. It creates a 3-D computer model of all fourty-four major muscles in the face that move like human muscles as well.
117,117,"For one, it is the second planet closes to the sun so it would be extremely hot. Next, the air pressure would be quite hard for humans to handle as well. In the passage it states, ""On the planet's surface, temperatures average over 800 degrees Fahrenheit, and the atmospheric pressure is 90 times greater than what we experience on our own planet."" This clearly gives enough information to say that these conditions are more extreme than what any human can handle. ","The author of ""The Challenge of Exploring Venus"" presents facts and figures that one could use to determine whether studying Venus would be an advantageous pursuit even though it would not be very safe. The author focuses more on the drawbacks of exploring Venus, hence the title of this work."
118,118,On my opino i don't consiter them to change to poplaur voted becasue to me its nothing i agree to keeping the electoral college votes  ,I agree to keeping the electoral college votes context: To conclude I belive that my state senator should remove the electoral colleges. To change the election by popular vote for the president of the United States. For the fact that voters vote not for the President but for a slate of electors as I had said in the last pargrraph who in turn elect or the president.
119,119,it cause many crisis to happened. ,"Using electoral votes will be unfair to voters when they are voting because of the simply winner-take-all basis of each and every one of the fifty states. Not only that it's unfair, it also causes many crisis in the United States dealing with this system alone and then eventually lead to dramatic chaos across the nation"
120,120,And others may have their opinions on this but it's ok to have your own opinion also different opinions don't hurt nobody it's just that different people believe in different things.    ,"Seeking help from multiple people can have great benefits such as having different opinions to build your own opinion, different experiences to build more knowledge, and also because it's always good to have people to rely on.. Having multiple opinions can help an individual a lot, even though you may not realize it. Listen to your peers, they might have information that you never even imagined to think about, they can improve your character without you even knowing. Have multiple opinions. but, I think its better to have other opinions because you can find new view points, you can have a outsiders opinion and you can discover more useful information that is relevant to the topic."
121,121,"because i don't really care about any of this. But you wanted my opinion so i gave it to you. Also I say to stick with the electoral college is because i don't care enough to give a reason to change your voting to popular vote. I don't really knoe anything about the ellectoral college or populare vot, because you passage is to boring i couldn't get through half of it. ","The Electoral College has caused many disastorous factors in our presidential campaigns. It has caused the wrong president to be elected, and it doesn't give our citizens much of a voice in the election. However, changing the system to popular vote for the president will give people a louder voice in this nation"
122,122,"To commence the third reasoning let another question be asked: First, say for example that you work a double-shift, full-time, day and night just to keep food on your childrens' and wifes' plate, clothes on their backs, and a roof over their heads. When the bills roll in, your paycheck isn't won't arrive for weeks and you still haven't enough to pay, so you may have to work overtime if possible or pick up another job. No one gets rich off the government clearly, and yet we work so hard to just make it. Now here's the question: Doesn't it all feel worth it when the paycheck come in? Okay now for the deeper question: What is the sense or feeling you specifically get when you see you happy families' faces? Now for the point: Our work pays off. We work for the government (at least most of us does) together, whether to put bread on the table or otherwise. Now wouldnt it give us that sense of freedom that us hard workers get to make great decisions like these? It would. ","Ask multiple people if this would be a good idea or not. Adopt a dog. Travel the world. Do some homework during their free time with family and friends moreover on a summer morning.. Because students are on vocations, this is their time to get caught up on their favorite hobbies and fun activities with their friends and one last thing they would want to think about is doing some sort of homework. Summer projects should be teacher-designed since students are not getting overwhelmed with what they need complete"
123,123,"peoples reactions emotional expressions are different and people are different some people can have bad emotional expressions and it could be harmful, and it could be painful for others. People can have really great emotional expressions, like being happy all the time. It says in paragraph 1 that Mona Lisa is 83 percent happy, 9 percent discusted, 6 percent fearful, and 2 percent angry. People can be the complete oppisate of that and it couldn't be good on other people, But people can also be like Mono Lisa and it makes the inviornment a better place knowing people are happy and not sad, discusted and angry. ",". Taking classes from home would help eliminate those who are uncomfortable in the environment an everyday school would have, such as those with anti-social tendencies or anxiety.. To finish off, when seeking multiple opinions it can help someone make a better choice. As said in paragraph one, throughout life people have different views on situations and how to resolve them beneficially. As restated in paragraph two, people in life are faced with many challenges."
124,124,socializing with their peers. ,Learn how to socialize comfortably and confidently. Understand how social interactions and collaboration with peers are a beneficial learning aspect that cannot be accessed at home. Learn how extracurricular activities can help students socialize with people they never got the opportunity to talk to before.
125,125,Like if you wanted to know how your dog or cat felt about you all you had to do was turn on the FACS and see. We could also see if lions kill becaues there mean or becaues they dont know what eals to do. Many things could be uncover thnks to FACS. ,Ask multiple people's opinions. Ask for advice. Ask a trusted friend or family member's opinion. Ask someone to show you how the other person might be feeling. Ask people to do community service. Ask them to volunteer in a dog shelter
126,126,Some school offer distance learning as an option for students to attend classes from home by way online or video conferencing because for some students that's the best way to take their classes but for other student is not the best way because some student have to work after school and they have other responsabilities to do ,"This may be convienent for parents who work on a busy schedule, allowing them to choose when and where they want their chilldren to learn. Although online schooling my be beneficial to some children, it may harm their future. Some schools offer distance learning as an option for students to attend classes from home by way of online or video conferencing."
127,127,But over time sand bulid over it gave what it look like in 1976. In the photograph you can see that it maybe face but you can see that it can be a hill. What are the black spot in the photograph that we see here. It could be that is that can be made on mars by wnich it from by.                                      ,The Viking I photo of the Face on Mars is forty years old and must not be taken as seriously as it once was. What are the black spots in the photograph that we see here. It could be made on Mars by wnich it from by.
128,128,it restores some of the weight that large states loses ,"This shows that large states can sway the whole election, while small states don't make a dent on it, without the Electoral College in place. Thus, using it allows smaller states' votes to matter in the election"
129,129,Over all i think it a good thing. They learn how to do good in school and sports and to be responsible. ,"Doing sports teaches students responsibility, and self discipline. It would help them become more independent and self reliant. The students already have to do what the teacher says during the school year, so this would make for a great chance for them to do..."
130,130,"If a student if feeling strong emotions such as saddness or fear; they need to talk to a friend about it, someone they can trust, not a computer. ",Ask someone how they are. Use Facial Action Coding. Use the FACS. Talk to a counselor or coach if a student is not doing well. Use online classes to help students who are struggling..
131,131,having a car not only affects your daily life but allso affects your environment. ,What are the benefits of limiting car usage? and what are the disadvantages to limiting the use of car usage in the present day? and how are they affecting the environment in the future? and are they beneficial to the environment as well?
132,132,NASA would be making our living situations a lot easier to handle of Venus by creating all of this new technology today in this age/era ,"The heated state of the planet may be an issue, but NASA has already started preparing solutions. Paragraph 7 reads, ""For example, some simplified electronics made of silicon carbide have been tested in a chamber simulating the chaos of Venus's surface and have lasted for three weeks in such conditions"" (The Challenge of Exploring Venus). This new technology created could lead to a long-lasting basis for human life, yet another reason exploring Venus is a brilliant idea."
133,133,"First,Professor. Thomas Huang of the beckman Institute for advanced Science at the University of Illinois working with  Professor. Nicu Sebe of the University of Amsterdam. Dr. Huang and his colleague are developing better ways for humans and computers to communicate which the proces begin when a computer constructs a 3-D computer Model of the Human face that contains all 44 major muscles in the model that must move like Human. ","The software is the latest innovation from Prof. Thomas Huang, of the Beckham Institute for Advanvced Science at the University of Illinois, working in collaboration with Prof. Nicu Sebe of the University Of Amsterdam, shows just how recent this technology is. (D'Alto 1). With this in mind, if students were able to be introduced and subject to this technology, there could be future scientist that want to further improve this technology and, until then, would be more involved in its place at school, sparking interest in young and vulnerable students."
134,134,"The electoral college is unfair, outdated, and irrational it officail !!!. Also arguments against direct elections are apurious at best. Bob dole was right:abolish the electoral college.  ","The electoral college is unfair, outdated, and irrational it officail!!!. Also arguments against direct elections are apurious at best. Bob Dole was right:abolish the electoral college!."
135,135,the canidate gains no electoral votes by increasing his plurailty. that is a desirable result because a candidate with only regional appeal will umlikely succed to be a president. ,"the canidate gains no electoral votes by increasing his plurilaty. that is a desirable result because a candidate with only regional appeal is unlikely to be a successful president. So a solid regional favorite, such as Romney was in the South, has no incentive to campaign heavily"
136,136, People in this world always going off on what people say or showing them computers dont always be right ,Ask multiple people for advice. Ask as many people as you can for advice. Don't be afraid to ask others for advice Ask multiple opinions on what to do in a bad situation. Ask questions to understand how the world works.
137,137,"But one the other hand, there saying that they might change it to the election of the popular votes of the president of the United States. I think they should keep using the electoral college because it actually have better benefits or outcomes because you know who you voted for and from what they told you ","I agree with former presidents, Nixon and Carter, that we need to abolish the Electoral College. All of these reasons show you the problems there are with the current system of electing our President and I know you will agree. Im writting this letter to you so you consider changing to election by popular vote for the prsident of the united states instead of electoral college."
138,138,I think of people need make manny technology because actual computers can be trick ,"I think of people need make manny technology because actual computers can be trick context: I beieve that it is the right thing to do, and that all will benefit from the experience. At some point, many will realize that computers are smarter than humans in many ways. Even though many think that the computers will have internal failure and create issues, I do not think that is the case. Companies involved in this new technology will test the product far before the release of any of their final product. The last thing they want is a disaster of driverless car failure."
139,139,As I read more not all the people were ok with the problem ,Talk to multiple people for advice. Talk to a friend or close peer. Ask for a second opinion Ask for advice from multiple people Talk to students with learning disabilities. Talk with multiple people. Ask your friends if they are okay with the decision.
140,140,"according to the gallup poll in 2000, 60 precent of voters would prefer a direct election the electoral college is losing the little defenders it has and due to the spurious arguments the electoral college should be abolished ","According to a Gallup poll in 2000, taken shortly after Al Gore-thanks to the quirks of the electoral college-won the popular vote but lost the presidency. Over 60 percent of voters would prefer a direct election to the kind we have now."
141,141,"GM has developed drivers seats that vibrates when the vehicle is in danger of backing into an object traffic jam assissant the car handle driving functions at the speed limit of 25 mph but special touch sensrs make sure the drivers keep hold of the wheel. the combination of all this input is necessary for the driverless car to mimic the skill of a human at the wheel.  The car read the positive and negative polarity as messages in binary code. these smart road systems worked surprisingly well, but they required massive upgrades to existing roads, something that was too expensive to be practical. ","Context: GM has developed driver's seats that vibrate when the vehicle is in danger of backing into an object.. The cars can handle driving functions at speeds up to 25 mile per hour, but special touch sensors make sure the driver keeps hold of the wheel. Having cars that aren't fully driverless allows the driver to remain alert, so they can take over when there is a situation. Driverless cars ""steer, accelerate, and brake themselves, but all to notify the driver when the road ahead requires human skills, such as navigating through work zones."
142,142,Yes that's right they do have to make it to the candidate first they just can't walk up there first you got to be president by the pesident frist if you not by him or here then you messe dup for goood ,"I think the electoral college is a very important subject that needs to be run by all of our citizens. It is niot fair that we need to elect others to have our submission be made. Even when we tell our electors who we choose, they might turn arouhd and vote for the other person."
143,143,"The people who don't like the idea usually become pessimists who hate everything, ",Ask multiple people before making an important choice. Ask many people. Don't hate it. Put together all of the advice to make a stronger piece of advice Make sure you have a lot of voices in your life.
144,144,"There are many veiw points of the Electoral College, but most would decied that its unfair, outdated, and irrational. The best arguments in favor of it are mostly assertions whithout much basis in reality. ","""It's official: The electoral college is unfair, outdated, and irrational. The best arguments in favor of it are mostly assertions without much basis in reality. And the arguments against direct elections are spurious at best. It's hard to say this, but Bob Dole was right: Abolish the electoral college!"""
145,145,"Secondly, the average temperatures of Venus is over 800 degrees Fahrenheit. ","Venus has a blanket of gas that covers it that is, ""almost 97 percent carbon dioxide."" Plus, on its surface, ""temperatures average over 800 degrees Fahrenheit."" With the level of carbon dioxide and the ragging heat that it has, nothing is safe for long on Venus, especially humans"
146,146,That is the reasoning behind the fact that I agree with both sides here ,"In conclusion, I strongly feel that we need to change to an election by popular vote. Above all, it is more fair to the people. Citizens would feel that their votes matter more than they do now. For those reasons alone the reader should side with the idea to abolish the electoral college."
147,147,To them the president isn't their president. The winner/ the president gets all the awards and receive the most infromation. ,"The person who has the popular vote may not win presidency,. The Electoral College is widely regarded as an anachronism, a non-democratic method of selecting a president that needs to be overruled by declaring the canidate who receives the most popular votes the winner"
148,148,Why are scientist wasting their time trying to explore it and how would we know what is actually in Venus if we haven't yet explored it. ,"Venus is not worth the time, effort and resources to explore. The planet proves to be too dangerous for mankind and even for machines. The resources that are going to Venus should be redirected to another cause that will benefit society and life as we know it"
149,149,"lets just say u live in texas and wanted to vote for for john kerry youd vote for a slate of 34 democratic electors pledged to kerry. On the off chance that those electors won the state wide election,they would go to congress and kerry would get 34 electoral votes. Who are the electors? They can be anyone not holding public office. ","The worst part is that the electors could be anyone you don't even have to hold a political position to be an elector, they could be very biased and narrowminded. That's why the Electoral College is unfair."
150,150,some scientist still today though study the plant. And trying to find a way to go there but the tests that there getting back isnt good ,"The author does not care what kind of dangers there is because he thinks Venus is a planet that is worth to study. As he tries to get a closer look at. NASA has been also trying to help make machines and new inventions that are safe for people to go up and for themselves. Although the challenges that they have read, seen, or have heard kept stopping them from figuring out how to get closer to Venus."
151,151,You can work at a soup kitchen at lunch or set up fund raisers for people with special needs. ,"Volunteering is a great way to help the community and anyone can do it, however volunteering is called volunteering for a reason. When you volunteer, you're willing to give up your time to help someone else.. Helping the community is very important"
152,152,Example like what happen to Colorado. It use to have a river but after years the water started to evaperate and it started forming big giant rocks ,"The author states that scientists figured it was just another Martian mesa when the face appeared. This shows that they have seen things like this before and they knew that it wasn't real, or alien like. Another example that the author proves is that Garvin said it reminded him of Middle Butte in the Snake River Plain of Idaho"
153,153,"Basic precepts are being adopted around the world in attempts to make suburbs more compact and more accessible to public transportation, with less space for parking. In this new approach, stores are being placed a walk away, on a main street, rather than in malls along some distant highway. ","In Bogota, ""Car-free day"" is part of an improvement campaign which helps residents of the city to see how life is life without the use of cars for a day. People use public transportation and walk to their destinations with no problem."
154,154,And mostly because if we were to change it then the most of the former US Presidents would'nt even be President because of there rivals ,"In conclusion, I strongly feel that we need to change to an election by popular vote. Above all, it is more fair to the people. Citizens would feel that their votes matter more than they do now. People wouldn't have to be worried about if the electors would flip on what they had voted for."
155,155,you have more ideas ,"Ask more people for their opinion. Ask more than one person for advice. Ask people with different opinions,. You might receive better ideas. Ask others for their opinions. Have the best idea you ever did, if it doesn't work out"
156,156,It can be good for them because they might enjoy it ,". They will enjoy doing the project because it appeals to them. Since it was designed by the students, they will find joy in doing it because it was created by them in the first place and wont feel as if they are being forced to do it by the teacher."
157,157,The gorveners and presitdent are trying to bane cars for good. ,What is the author's opinion on the development of driverless cars and what are the negative side effects of the cars they are coming into public use with? Name two things that the author thinks the car is going to be bad for.
158,158,"Next, Authors reasoned these images would be a great way to engage Mars and the other people; it did. The ""face of mars' became a huge icon for twenty five years. Soon it dtarred in films, was seen in books and magizines and most favored in grocery store lines. Photographing Cydonia beame a priorty for Nasa when MGS, Mars Global Surveyor arrived agian in September of 1997 which was a long eighteen years after. ","The author states that scientists figured it was just another Martian mesa when the face appeared. This shows that they have seen things like this before and they knew that it wasn't real, or alien like. Another example that the author proves is that Garvin said it reminded him of Middle Butte in the Snake River Plain of Idaho."
159,159,"Things are changing fast we have to change with them.  This is why this technology is so valuable, we can use it in many ways even if its not important.  We can still get use out of it, so why not make it a thing? In the article it says ""She is 83 percent happy, 9 percent digusted, 6 percent fearful and 2 percent angry"" talking about the Mona Lisa painting.  Now you cant tell me that that is not cool at all. ",What are some of the flaws to the idea of online courses and how can we use them in many ways even if it's not important. What is the main problem that stands out the most is it could cause students to cheat by using another browser to look up their answer's
160,160,"After Luke Bomberger graduation, he had two jobs he worked ar a grocery store and a bank. so when his friend ask him to go to europe on a cattle boat. in the passage luke said that he could not say no. It also includes that it was an opportuity of a lifetime.  In the passage i said that unrra hired ""Seagoing Cowboys'' to take care of horeses, young cows, and mules that were shiped overseas. and Luke and Don sighned up. I think luke sighned up because he was helping out on his aunt farm. So he knew alot about helping with animals. ","If someone wants to buy a Cadillac, they should ask someone before spending their hard earned money on it. If someone asks their best friend who thinks they are ugly, they would obviously say no. This is an example of why asking multiple people before making a choice is good because they might have different opinions on lots of different things, whether they are small issues like shoes being ugly, or big issues like political opinions and whether schools should have dress code."
161,161,"This icon have became very popular. For example in pargargraph 5 its says "" its starred in Hollywood Films, appeared in books, magazines, and is in radio talk shows. This shows that the icon is really popular and many people know and talk about the icon. ","The ""Face"" on Mars has since been a pop icon. It has starred in a Hollywood film, apperered in books, magazines, and even radio shows. (5). See how famous that face was 25 years ago is amazing but it still doesn't mean it was a alien made artiffact."
162,162,"The Popular States says that the electoral College system is out of date and lame , ","The Electoral College is an unfair way of choosing presidents, by it being known as a winner-take-all system. ""It's official: The electoral college is unfair, outdated, and irrational,"" says Bradford Plumer"
163,163,I think students should wait to get a cell phone because they not going to get nowhere with a cell phone but the same grade over again.  ,I think students should wait to get a cell phone because they will not be paying attention to the teacher or what they need to. This is just one more reason why the only way to go is to ban phones in schools at all times.
164,164,"However, some people think that this could be an actule human life form on Mars ",". NASA has proven the Face to be nothing but a natural landform on the Red Planet Mars NASA has proved this by recent pictures, scientific evidence, and real-life examples and measurements. Over the years, NASA has worked hard to figure out the mystery of the face, and just recently they have discovered, with pictyures, evidence,"
165,165,The new technology is very helpful showing about whats more to a picture or a frame. ,"This technology is able to deduce what emotion a person is feeling. This technology can also be implenmented in many spheres of life, including in the classroom.. With advanced technology, the right location, and the right season, NASA got the clear picture of the Face they needed to show that it was just a landform. NASA even suggests that it may be a butte or mesa"
166,166,"i mean what i can say so far about this artical yeah okay i understand where there coming from and all but its just i cant foucus on the part where i have to sit here an explain to yall that the women mona lisa demonstration is really to bring a smile to your face . The process begins whe the computer constructs3-d computers model to the faces . she also was also 83 percent happy 9 percent disgusted 6 percent fealful 2 percent angry . she was peaceful young lady to be honest . But while it shows as much as this computer can . imagine whst a computer that knows when your happy or sad . By the way making a happy face experiments also make you feel slighty happy . According to the feedback theory of emotion, moving your facial muscles not onlt the expresses emotion, btu also mau even help produce them ","Is it worth the wait? Is there a way to make everyone happy, even in the school setting? What are the pros and cons of doing an extracurricular activity? What is the author's view on the issue of making everyone happy?"
167,167,Policy 2 is not the best choice because a lot of children are stubborn and not allowing phones to be on campus is just going to make them want to bring them even more ,"Policy 2 is the best choice because it allows students to get in touch with whoever they need to contact, It can keep a student from cheating and save them the trouble that comes along with it, and it is also a way to slow down rumors, and a save a child's reputation."
168,168,in the article the the author said NASA's possible solution to the hostile conditions o the surface of venus would allow scientitis to float above the fray. Imagine a blimp-like vehicle hovering 30 or so miles above the roiling venusian landscape. Ths quotes means thta venus is pursuit because is halping people wiht the electronic such as vehicule. ,"The author states, ""NASA's possible solution to the hostile conditions on the surface of Venus would allow scientists to float above the fray. Imagine a blimp-like vehicle hovering 30 or so miles above the roiling venusian landscape."
169,169,Principal I will be part of this program and i will help those elementary school students. ,I think having every student be in a extracurricular activity is a great idea and i completely agree with the principal. I strongly disagree with the decision of my principal because forcing Generic_School students to participate in extracurricular activities wears them out
170,170,The reason is that the winning candidate's share of the Electoral College is because it eceeds the presidents votes. Most states have a winner take all method to figure out who represents your state. It would work but it would be very different then our old presidentual voting. ,"Most states have a winner-take-all method to figure out who represents your state. It would work but it would be very different then our old presidentual voting. context: A Certainty of Outcome. This means ""it's less likley than a dispute over the popular vote. Which really means the candidates share to the other people in the Electoral college there share of the popular"
171,171,the Robot can study the plant while the astromistes stay on earth and they can egt data about venus thanks to the Robot. The Author says that NASA is always inventing new ways to get information from space and plants without doing it in person. ,"The author does not support the idea that studying Venus is a worthy pursuit due to his extensive reasearch on its toxic living conditions but does acknowledge the benefits of its accessibility from Earth. Without being able to collect samples, the author weakens his argument to study Venus despite the dangers it presents."
172,172,"Say if i were to buy a big pizza ,and it was cut into 4 big pices and 8 small. The 8 people ate there pizza but it didnt really matter but when the the other 4 people ate there pizza it did . ok say if i weree to have a even pizza  4/4  . one half where the people and the other half was the big people in charge so u can say....no matter what the people say its only going to have like 25/100 effect.  After reading a text its says ""when you vote for a presidential candidate you're actually vothing for a slate of electors' ","Ask multiple people's opinions. Ask for advice from multiple people. Get advice from people who are wiser, smarter, and far more experienced than yourself. Ask many people the same question and you get the same answer. Ask multiple opinions."
173,173,"Richard Nixon, Jimmy Carter, Bob Dole, the U.S Chamber of Commerce, and the AFL-CIO, in their time , agreed on? Abolishing the electoral college. Under the electoral college system, voters vote not for the president, but for the slate of electors, who in turn elect the president.  Who picks the electors? It depends on the state. Sometimes state conventions, sometimes the state party's central comittee, sometimes the presidentail canidates themselves. Voters can't controls whom their electors vote for. Well not always .Voters sometimes get very confused about the votes in vote for the wrong canidate.  The best arguement against the electoral college is called Disater Factor. The Americans should consider themselves lucky that the 2000 fiasco was the biggest election in a century. Back in 1960, segregations in Louisiana legislature nearly succeeded in replacing the Democratics with new electors that would oppose John F. Kennedy.  The Electoral College is widely regarded as an anachronism, a non-democratic method of selecting a president that ought to be overruled by declaring the canidates who recieve the most votes. A dispute over the outcome of an Electoral College vote is possible, it happened in 2000, but it's less likely than a dispute over popular vote.  The Electoral College requires a presidential Canidate to have trans-regional appeal. No other region ( South, Northwest, etc.) has enough electoral votes to elect a president. The winner takes all method of awarding electoral votes. The electoral College avoids the problems of elections in which no canidate recieves a majority of the votes cast. For an example, nixon in 1968 and Clinton in 1992 both had only a 43 percent plurality of the popular votes.           ","I am in favor of changing the elctoral college to election by popular vote for the president of the United States of America. Richard Nixon, Jimmy Carter, Bob Dole, the U.S. Chamber of Commerce, and the AFL-CIO all agreed on one thing, and it was aboloshing the Electoral College."
